date;avg_temp;avg_humidity;avg_co2;avg_tvoc;predicted;label
15/07/25;23.43;41.29;799.31;46.32;2;2
16/07/25;29.1;58.23;400.0;0.00;0;0
17/07/25;28.25;41.71;400.0;0.00;1;1
18/07/25;31.99;40.5;400.0;0.00;1;1
19/07/25;31.17;57.06;400.0;3.00;0;0
20/07/25;25.37;45.56;619.09;78.33;1;1
21/07/25;24.2;41.25;775.07;85.76;0;0
22/07/25;31.14;57.46;336.75;97.55;0;0
23/07/25;29.93;49.86;383.14;91.0;0;0
24/07/25;22.03;53.53;571.58;75.59;0;0
25/07/25;22.76;47.56;400.0;0.0;0;0
26/07/25;22.82;45.01;400.0;0.0;0;0
27/07/25;23.09;49.42;400.0;0.0;0;0
28/07/25;30.72;51.73;400.0;0.0;0;0
29/07/25;28.36;51.13;400.0;0.0;0;0
30/07/25;24.48;53.46;400.0;0.0;0;0
31/07/25;26.24;46.96;400.0;0.0;1;1
01/08/25;31.93;45.31;397.82;89.81;1;1
02/08/25;26.46;60.71;614.23;26.21;0;0
03/08/25;29.83;58.57;404.81;0.72;0;0
04/08/25;31.15;46.78;400.0;0.0;1;0
05/08/25;29.78;49.88;400.0;0.0;1;1
06/08/25;30.19;42.05;400.0;0.0;0;0
07/08/25;25.65;46.84;696.32;8.79;1;2
08/08/25;22.32;44.77;442.24;85.21;0;0
09/08/25;24.02;47.32;617.36;98.79;0;0
10/08/25;30.61;51.48;627.73;12.61;0;0
11/08/25;30.7;57.69;400.0;0.0;2;2
12/08/25;23.43;58.81;400.0;0.0;0;0
13/08/25;24.79;49.36;400.0;0.0;0;0
14/08/25;30.55;51.29;400.0;0.0;1;0
15/08/25;28.22;52.61;400.0;0.0;0;0
16/08/25;23.96;53.96;400.0;0.0;2;2
17/08/25;24.02;55.02;379.99;25.54;0;0
18/08/25;24.57;47.02;411.07;98.77;2;2
