date;avg_temp;avg_humidity;avg_co2;avg_tvoc;predicted;label
28/03/25;22.62;47.54;416.69;21.55;0;0
29/03/25;22.4;51.68;504.7;90.14;0;0
30/03/25;22.76;44.03;965.34;200.46;0;0
31/03/25;21.24;33.66;426.71;11.5;1;1
01/04/25;21.88;39.31;1488.15;444.32;0;0
02/04/25;21.88;45.31;522.41;58.31;2;2
03/04/25;21.59;43.06;594.73;34.68;0;0
04/04/25;22.56;49.17;989.14;121.46;0;0
05/04/25;23.01;45.43;676.16;97.44;2;2
06/04/25;22.5;46.16;400.0;0.0;0;0
07/04/25;21.83;44.11;400.0;0.0;0;0
08/04/25;20.54;42.95;400.0;0.0;0;0
09/04/25;21.48;46.01;400.0;0.0;1;1
10/04/25;21.99;48.38;400.0;0.0;1;1
11/04/25;22.59;53.58;400.0;0.0;0;0
12/04/25;22.76;51.27;400.0;0.0;0;0
13/04/25;21.55;53.89;400.0;0.0;0;0
14/04/25;21.84;58.62;400.0;0.0;1;0
15/04/25;21.73;65.16;400.0;0.0;0;0
16/04/25;21.79;64.47;400.0;0.0;0;0
17/04/25;22.19;64.72;400.0;0.0;1;1
18/04/25;21.21;52.11;400.0;0.0;0;0
19/04/25;21.29;59.47;400.0;0.0;0;0
20/04/25;21.75;65.23;400.0;0.0;0;0
21/04/25;21.63;54.59;400.0;0.0;0;0
22/04/25;21.88;53.77;400.0;0.0;2;1
23/04/25;22.02;61.75;400.0;0.0;0;0
24/04/25;21.83;56.24;400.0;0.0;0;0
25/04/25;21.85;58.11;400.0;0.0;0;0
26/04/25;21.22;55.08;400.0;0.0;2;2
27/04/25;21.73;63.89;400.0;0.0;0;0
28/04/25;21.94;56.17;400.0;0.0;0;0
04/05/25;23.48;59.13;400.0;0.0;0;0
05/05/25;23.5;67.21;520.75;51.14;0;0
06/05/25;23.22;63.21;451.99;24.53;0;0
08/05/25;21.6;59.76;400.0;0.0;0;0
09/05/25;21.94;60.78;408.52;0.93;0;0
11/05/25;22.49;67.82;400.0;0.0;0;0
12/05/25;22.92;62.91;400.0;0.0;1;1
13/05/25;22.54;65.85;400.0;0.0;0;0
